year,month,file_date,case_number,case_title,file_contains,case_info_url,pdf_url,pdf_filename,download_status,scraped_at
2021,May,"May. 20, 2021",98795-5,State v. Slater,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=987955MAJ,https://www.courts.wa.gov/opinions/pdf/987955.pdf,98795-5_State v. Slater.pdf,Success,2025-12-05T11:38:53.654183
2021,May,"May. 27, 2021",98768-8,Green v. Pierce County,"Maj., and Dis. Opinions and an Order",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=987688MAJ,https://www.courts.wa.gov/opinions/pdf/987688.pdf,98768-8_Green v. Pierce County.pdf,Success,2025-12-05T11:39:01.291711
2021,May,"May. 27, 2021",98496-4,State v. Jenks,"Maj., Con., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=984964MAJ,https://www.courts.wa.gov/opinions/pdf/984964.pdf,98496-4_State v. Jenks.pdf,Success,2025-12-05T11:39:09.822549
2021,June,"Jun. 10, 2021",98493-0,State v. Johnson,"Maj., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=984930MAJ,https://www.courts.wa.gov/opinions/pdf/984930.pdf,98493-0_State v. Johnson.pdf,Success,2025-12-05T11:39:17.416768
2021,June,"Jun. 24, 2021",98554-5,In re Dependency of G.J.A.,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=985545MAJ,https://www.courts.wa.gov/opinions/pdf/985545.pdf,98554-5_In re Dependency of G.J.A..pdf,Success,2025-12-05T11:39:29.141783
2021,July,"Jul. 01, 2021",98591-0,State v. Denham,"Maj., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=985910MAJ,https://www.courts.wa.gov/opinions/pdf/985910.pdf,98591-0_State v. Denham.pdf,Success,2025-12-05T11:39:37.571837
2021,July,"Jul. 08, 2021",98753-0,Conway Constr. Co. v. City of Puyallup,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=987530MAJ,https://www.courts.wa.gov/opinions/pdf/987530.pdf,98753-0_Conway Constr. Co. v. City of Puyallup.pdf,Success,2025-12-05T11:39:45.082167
2021,July,"Jul. 08, 2021",98296-1,Coogan v. Genuine Parts Co.,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=982961MAJ,https://www.courts.wa.gov/opinions/pdf/982961.pdf,98296-1_Coogan v. Genuine Parts Co..pdf,Success,2025-12-05T11:39:54.600700
2021,July,"Jul. 15, 2021",98985-1,Family of Butts v. Constantine,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=989851MAJ,https://www.courts.wa.gov/opinions/pdf/989851.pdf,98985-1_Family of Butts v. Constantine.pdf,Success,2025-12-05T11:40:04.803854
2021,July,"Jul. 15, 2021",98719-0,State ex rel. Haskell v. Spokane County Dist. Court,"Maj., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=987190MAJ,https://www.courts.wa.gov/opinions/pdf/987190.pdf,98719-0_State ex rel. Haskell v. Spokane County Dist. Cour.pdf,Success,2025-12-05T11:40:13.574750
2021,July,"Jul. 22, 2021",98965-6,In re Welfare of K.D.,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=989656MAJ,https://www.courts.wa.gov/opinions/pdf/989656.pdf,98965-6_In re Welfare of K.D..pdf,Success,2025-12-05T11:40:22.041125
2021,July,"Jul. 22, 2021",99249-5,Nyman v. Hanley,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=992495MAJ,https://www.courts.wa.gov/opinions/pdf/992495.pdf,99249-5_Nyman v. Hanley.pdf,Success,2025-12-05T11:40:28.939148
2021,July,"Jul. 29, 2021",98694-1,Rinehold v. Renne,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=986941MAJ,https://www.courts.wa.gov/opinions/pdf/986941.pdf,98694-1_Rinehold v. Renne.pdf,Success,2025-12-05T11:40:35.451003
